parfum,maison,url,id,createur
Bonne Étoile Baby Dior,Dior,https://www.fragrantica.com/perfume/Dior/Bonne-Etoile-Baby-Dior-87597.html,87597,Francis Kurkdjian
Chris 1947,Dior,https://www.fragrantica.com/perfume/Dior/Chris-1947-1383.html,1383,
Dior Dior,Dior,https://www.fragrantica.com/perfume/Dior/Dior-Dior-2607.html,2607,Edmond Roudnitska
"Dior Me, Dior Me Not",Dior,https://www.fragrantica.com/perfume/Dior/Dior-Me-Dior-Me-Not-1380.html,1380,
Dior Star,Dior,https://www.fragrantica.com/perfume/Dior/Dior-Star-1296.html,1296,Beatrice Piquet
Diorama,Dior,https://www.fragrantica.com/perfume/Dior/Diorama-2608.html,2608,Edmond Roudnitska
Diorella,Dior,https://www.fragrantica.com/perfume/Dior/Diorella-226.html,226,Edmond Roudnitska
Diorella Parfum,Dior,https://www.fragrantica.com/perfume/Dior/Diorella-Parfum-33613.html,33613,Edmond Roudnitska
Diorever,Dior,https://www.fragrantica.com/perfume/Dior/Diorever-29353.html,29353,
Diorissimo,Dior,https://www.fragrantica.com/perfume/Dior/Diorissimo-224.html,224,Edmond Roudnitska
Diorissimo (2024),Dior,https://www.fragrantica.com/perfume/Dior/Diorissimo-2024-92648.html,92648,Francis Kurkdjian
Diorling,Dior,https://www.fragrantica.com/perfume/Dior/Diorling-6376.html,6376,Paul Vacher
Dolce Vita,Dior,https://www.fragrantica.com/perfume/Dior/Dolce-Vita-222.html,222,"Maurice Roger, Pierre Bourdon"
Eau de Dior Coloressence Energizing,Dior,https://www.fragrantica.com/perfume/Dior/Eau-de-Dior-Coloressence-Energizing-1386.html,1386,Max Gavarry
Eau de Dior Coloressence Relaxing,Dior,https://www.fragrantica.com/perfume/Dior/Eau-de-Dior-Coloressence-Relaxing-1387.html,1387,Domitille Michalon Bertier
Eau de Dolce Vita,Dior,https://www.fragrantica.com/perfume/Dior/Eau-de-Dolce-Vita-2578.html,2578,Jacques Cavallier Belletrud
Eau Fraiche,Dior,https://www.fragrantica.com/perfume/Dior/Eau-Fraiche-227.html,227,Edmond Roudnitska
Eau Svelte,Dior,https://www.fragrantica.com/perfume/Dior/Eau-Svelte-15703.html,15703,
Forever and Ever,Dior,https://www.fragrantica.com/perfume/Dior/Forever-and-Ever-1244.html,1244,
Forever and Ever Dior,Dior,https://www.fragrantica.com/perfume/Dior/Forever-and-Ever-Dior-1245.html,1245,
I Love Dior,Dior,https://www.fragrantica.com/perfume/Dior/I-Love-Dior-1382.html,1382,
Jules,Dior,https://www.fragrantica.com/perfume/Dior/Jules-1243.html,1243,Jean Martel
Jules (2016),Dior,https://www.fragrantica.com/perfume/Dior/Jules-2016-40736.html,40736,
Lily,Dior,https://www.fragrantica.com/perfume/Dior/Lily-2002.html,2002,Florence Idier
Lily Dior,Dior,https://www.fragrantica.com/perfume/Dior/Lily-Dior-2003.html,2003,
Midnight Charm,Dior,https://www.fragrantica.com/perfume/Dior/Midnight-Charm-697.html,697,
Miss Dior Originale Harrods 175 Anniversary Edition Amphora,Dior,https://www.fragrantica.com/perfume/Dior/Miss-Dior-Originale-Harrods-175-Anniversary-Edition-Amphora-97340.html,97340,Francis Kurkdjian
Remember Me,Dior,https://www.fragrantica.com/perfume/Dior/Remember-Me-2001.html,2001,Nathalie Lorson
Sweet Sun,Dior,https://www.fragrantica.com/perfume/Dior/Sweet-Sun-1295.html,1295,
Tendre Poison Brume Parfumée,Dior,https://www.fragrantica.com/perfume/Dior/Tendre-Poison-Brume-Parfumee-101009.html,101009,
Cruise Collection - Escale a Portofino,Dior,https://www.fragrantica.com/perfume/Dior/Cruise-Collection-Escale-a-Portofino-3291.html,3291,François Demachy
Cruise Collection - Escale a Portofino Limited Edition,Dior,https://www.fragrantica.com/perfume/Dior/Cruise-Collection-Escale-a-Portofino-Limited-Edition-82987.html,82987,
Cruise Collection Escale a Parati,Dior,https://www.fragrantica.com/perfume/Dior/Cruise-Collection-Escale-a-Parati-14833.html,14833,François Demachy
Cruise Collection Escale a Pondichery,Dior,https://www.fragrantica.com/perfume/Dior/Cruise-Collection-Escale-a-Pondichery-6027.html,6027,François Demachy
Cruise Collection Escale Aux Marquises,Dior,https://www.fragrantica.com/perfume/Dior/Cruise-Collection-Escale-Aux-Marquises-8824.html,8824,François Demachy
Addict To Life,Dior,https://www.fragrantica.com/perfume/Dior/Addict-To-Life-12109.html,12109,François Demachy
Dior Addict,Dior,https://www.fragrantica.com/perfume/Dior/Dior-Addict-215.html,215,"Christian Dussoulier, Thierry Wasser"
Dior Addict 2,Dior,https://www.fragrantica.com/perfume/Dior/Dior-Addict-2-217.html,217,
Dior Addict 2 Eau Fraiche,Dior,https://www.fragrantica.com/perfume/Dior/Dior-Addict-2-Eau-Fraiche-6687.html,6687,François Demachy
Dior Addict 2 Logomania,Dior,https://www.fragrantica.com/perfume/Dior/Dior-Addict-2-Logomania-1247.html,1247,
Dior Addict 2 Sparkle in Pink,Dior,https://www.fragrantica.com/perfume/Dior/Dior-Addict-2-Sparkle-in-Pink-6209.html,6209,
